vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	423	2	40	1	4	86b				86b
I	424	2	40	5	14	87a		87	a	87a
I	425	2	40	15	26	87b		87	b	87b
I	426	2	40	27	39	88a		88	a	88a
I	427	2	40	40	47	88b		88	b	88b
I	428	2	40	48	51	89a		89	a	89a
I	428	2	41	1	5	89a				89a
I	429	2	41	6	17	89b		89	b	89b
I	430	2	41	18	20	90a		90	a	90a
I	430	2	42	1	6	90a				90a
I	431	2	42	7	13	90b		90	b	90b
I	432	2	42	14	25	91a	hole in the page center	91	a	91a
I	433	2	42	26	34	91b	hole in the page center	91	b	91b
I	434	2	42	35	35	92a		92	a	92a
I	434	2	43	1	8	92a				92a
I	435	2	43	9	19	92b		92	b	92b
I	436	2	43	20	21	93a		93	a	93a
I	436	2	44	1	6	93a				93a
I	437	2	44	7	14	93b		93	b	93b
I	438	2	44	15	25	94a		94	a	94a
I	439	2	44	26	31	94b		94	b	94b
I	439	2	45	1	7	94b				94b
I	440	2	45	8	16	95a		95	a	95a
I	441	2	45	17	25	95b		95	b	95b
I	442	2	45	26	32	96a		96	a	96a
I	443	2	45	33	33	96b		96	b	96b
I	443	2	46	1	8	96b				96b
I	444	2	46	9	18	97a		97	a	97a
I	445	2	46	19	30	97b		97	b	97b
I	446	2	46	31	34	98a		98	a	98a
I	446	2	47	1	4	98a				98a
I	447	2	47	5	15	98b		98	b	98b
I	448	2	47	16	19	99a		99	a	99a
I	448	2	48	1	6	99a				99a
I	449	2	48	7	15	99b		99	b	99b
I	450	2	48	16	26	100a		100	a	100a
I	451	2	48	27	36	100b		100	b	100b
I	452	2	48	37	37	101a		101	a	101a
I	452	2	49	1	8	101a				101a
I	453	2	49	9	16	101b		101	b	101b
I	454	2	49	17	17	102a		102	a	102a
I	454	2	50	1	8	102a				102a
I	455	2	50	9	17	102b		102	b	102b
I	456	2	50	18	28	103a		103	a	103a
I	457	2	50	29	38	103b		103	b	103b
I	458	2	50	39	48	104a		104	a	104a
I	459	2	50	49	51	104b		104	b	104b
I	459	2	51	1	8	104b				104b
I	460	2	51	9	18	105a		105	a	105a
I	461	2	51	19	27	105b		105	b	105b
I	461	2	52	1	2	105b				105b
I	462	2	52	3	13	106a		106	a	106a
I	463	2	52	14	22	106b		106	b	106b
I	464	2	52	23	32	107a		107	a	107a
I	465	2	52	33	42	107b		107	b	107b
I	466	2	52	43	50	108a		108	a	108a
I	467	2	52	51	61	108b		108	b	108b
I	468	2	52	62	71	109a		109	a	109a
I	469	2	52	72	83	109b		109	b	109b
I	470	2	52	84	96	110a		110	a	110a
I	471	2	52	97	102	110b		110	b	110b
I	471	2	53	1	2	110b				110b
I	472	2	53	3	12	111a		111	a	111a
I	473	2	53	13	22	111b		111	b	111b
I	474	2	53	23	32	112a		112	a	112a
I	475	2	53	33	35	112b		112	b	112b
I	475	2	54	1	6	112b				112b
I	476	2	54	7	18	113a	page tape-masked in the center	113	a	113a
I	477	2	54	19	27	113b		113	b	113b
I	478	2	54	28	39	114a		114	a	114a
I	479	2	54	40	44	114b		114	b	114b
I	479	2	55	1	6	114b				114b
I	480	2	55	7	19	115a		115	a	115a
I	481	2	55	20	32	115b		115	b	115b
I	482	2	55	33	33	116a		116	a	116a
I	482	2	56	1	10	116a				116a
I	483	2	56	11	23	116b		116	b	116b
I	484	2	56	24	34	117a		117	a	117a
I	485	2	56	35	35	117b		117	b	117b
I	485	2	57	1	7	117b				117b
I	486	2	57	8	19	118a		118	a	118a
I	487	2	57	20	30	118b		118	b	118b
I	488	2	57	31	34	119a		119	a	119a
I	488	2	58	1	8	119a				119a
I	489	2	58	9	18	119b		119	b	119b
I	490	2	58	19	26	120a		120	a	120a
I	491	2	58	27	32	120b		120	b	120b
